date,code,close,pctChg,volume,amount
2021-01-29,sh.600176,22.53,12.875752,1049577001.0,23557055554.75
2021-02-26,sh.600176,22.45,-0.355082,787990227.0,19489589003.29
2021-03-31,sh.600176,19.2,-14.476615,1392705770.0,28734336804.26
2021-04-30,sh.600176,18.02,-6.1458,970590495.0,18093799308.14
2021-01-29,sz.002382,24.31,15.267899,1081258559.0,26351107530.04
2021-02-26,sz.002382,21.93,-9.79021,643855393.0,15673558893.99
2021-03-31,sz.002382,19.27,-12.129503,441296566.0,8877452110.81
2021-04-30,sz.002382,23.6,22.4702,673586962.0,13993661093.92
2021-01-29,sh.603127,145.51,41.121133,73469150.0,9254192637.64
2021-02-26,sh.603127,137.63,-5.415435,41986710.0,6362248517.09
2021-03-31,sh.603127,145.8,5.936206,61675305.0,8145633860.8
2021-04-30,sh.603127,152.55,4.6296,42819262.0,6455060170.94
2021-01-29,sh.603589,63.93,-7.213353,308960968.0,22022281051.31
2021-02-26,sh.603589,57.46,-10.120444,127935252.0,8044844975.01
2021-03-31,sh.603589,62.0,7.901149,119734477.0,6886600561.0
2021-04-30,sh.603589,62.24,0.3871,197052133.0,12231700713.76
2021-01-29,sz.002020,9.78,-1.609658,162938417.0,1587360030.6
2021-02-26,sz.002020,10.42,6.543967,115223683.0,1195852052.76
2021-03-31,sz.002020,11.63,11.612284,164159324.0,1804929387.05
2021-04-30,sz.002020,10.79,-7.2227,238035174.0,2767384337.18
2021-01-29,sz.300595,110.14,34.448242,122692722.0,11964685107.14
2021-02-26,sz.300595,93.21,-15.371346,105357493.0,11926636194.07
2021-03-31,sz.300595,90.15,-3.28291,197167163.0,16426769541.87
2021-04-30,sz.300595,116.16,28.8519,113337839.0,11596926138.71
2021-01-29,sh.601288,3.15,0.318471,4619632510.0,14591633804.6
2021-02-26,sh.601288,3.26,3.492063,4560124450.0,14651826118.39
2021-03-31,sh.601288,3.4,4.294479,6330179225.0,21210333339.4
2021-04-30,sh.601288,3.2,-5.8824,3537706369.0,11707949418.6
2021-01-29,sh.603501,289.57,25.300736,253472880.0,73650740892.25
2021-02-26,sh.603501,282.98,-2.275788,121140536.0,35672669722.18
2021-03-31,sh.603501,256.72,-9.279808,131802954.0,34688479898.57
2021-04-30,sh.603501,302.51,17.8366,110245892.0,32060599958.79
2021-01-29,sz.002333,4.93,-2.952756,28677820.0,144760451.22
2021-02-26,sz.002333,5.08,3.042596,15066619.0,75285122.05
2021-03-31,sz.002333,5.18,1.968504,24177181.0,125642236.4
2021-04-30,sz.002333,5.66,9.2664,37598338.0,208135777.26
2021-01-29,sh.603659,99.3,-11.646944,131930114.0,14555923947.81
2021-02-26,sh.603659,87.7,-11.681772,57988090.0,5773053746.52
2021-03-31,sh.603659,95.0,8.323831,58508111.0,5261631581.63
2021-04-30,sh.603659,81.07,19.9129,92096429.0,8914696746.31
2021-01-29,sz.002179,69.5,-11.227488,346890505.0,26739675120.15
2021-02-26,sz.002179,68.83,-0.964029,198197767.0,14156859271.89
2021-03-31,sz.002179,67.6,-1.787011,197037632.0,13043234384.82
2021-04-30,sz.002179,68.18,0.858,210272637.0,15516614364.58
2021-01-29,sz.000883,3.54,-8.762887,349925250.0,1290602071.01
2021-02-26,sz.000883,3.61,1.977401,275868450.0,979583874.98
2021-03-31,sz.000883,6.44,78.393352,2550976040.0,12270699820.26
2021-04-30,sz.000883,4.64,-27.9503,3728218169.0,21382896607.21
2021-01-29,sh.601939,6.76,7.643312,3616102918.0,23749918908.71
2021-02-26,sh.601939,7.26,7.39645,3065274216.0,21632447180.24
