,fund_code,short_name,name,fund_type,full_name
11750,515850,FGZZQZZQGSETF,富国中证全指证券公司ETF,ETF-场内,FUGUOZHONGZHENGQUANZHIZHENGQUANGONGSIETF
11751,515860,JSXXKJ100ETF,嘉实新兴科技100ETF,ETF-场内,JIASHIXINXINGKEJI100ETF
11752,515870,JSXJZZ100ETF,嘉实先进制造100ETF,ETF-场内,JIASHIXIANJINZHIZAO100ETF
11753,515880,GTZZQZTXSBETF,国泰中证全指通信设备ETF,ETF-场内,GUOTAIZHONGZHENGQUANZHITONGXINSHEBEIETF
11754,515890,BSHLETF,博时红利ETF,ETF-场内,BOSHIHONGLIETF
11755,515900,BSYQCXQDETF,博时央企创新驱动ETF,ETF-场内,BOSHIYANGQICHUANGXINQUDONGETF
11756,515910,ZJMSCIZGAGGJZLETF,中金MSCI中国A股国际质量ETF,ETF-场内,ZHONGJINMSCIZHONGGUOAGUGUOJIZHILIANGETF
11757,515920,BSZNXFETF,博时智能消费ETF,ETF-场内,BOSHIZHINENGXIAOFEIETF
11758,515930,YYHS300ETF,永赢沪深300ETF,ETF-场内,YONGYINGHUSHEN300ETF
11759,515950,FGZZYY50ETF,富国中证医药50ETF,ETF-场内,FUGUOZHONGZHENGYIYAO50ETF
11760,515960,JSYYJK100ETF,嘉实医药健康100ETF,ETF-场内,JIASHIYIYAOJIANKANG100ETF
11761,515980,HFZZRGZNCYETF,华富中证人工智能产业ETF,ETF-场内,HUAFUZHONGZHENGRENGONGZHINENGCHANYEETF
11762,515990,TFZZGQYDYLETF,添富中证国企一带一路ETF,ETF-场内,TIANFUZHONGZHENGGUOQIYIDAIYILUETF
11763,516000,HXZZDSJCYETF,华夏中证大数据产业ETF,ETF-场内,HUAXIAZHONGZHENGDASHUJUCHANYEETF
11764,516010,GTZZDMYXETF,国泰中证动漫游戏ETF,ETF-场内,GUOTAIZHONGZHENGDONGMANYOUXIETF
11765,516020,HBHGETF,华宝化工ETF,ETF-场内,HUABAOHUAGONGETF
11766,516050,GYZZKJLTETF,工银中证科技龙头ETF,ETF-场内,GONGYINZHONGZHENGKEJILONGTOUETF
11767,516060,GYRXZZCXYCYETF,工银瑞信中证创新药产业ETF,ETF-场内,GONGYINRUIXINZHONGZHENGCHUANGXINYAOCHANYEETF
